City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Filipe,CV,78.53,clear sky,14.8961,-24.4956,Hotel Xaguate
2,Souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
7,Rikitea,PF,75.36,light rain,-23.1203,-134.9692,People ThankYou
9,Kloulklubed,PW,88.3,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
11,Palauig,PH,86.38,scattered clouds,15.435,119.9045,Alperi Botique Resort
12,Dubbo,AU,75.33,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
15,Carutapera,BR,77.74,broken clouds,-1.195,-46.02,Lidera
19,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
26,Cabo San Lucas,MX,81.7,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
29,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
31,San Ignacio,BZ,77.14,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
35,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
41,Hervey Bay,AU,75.04,light rain,-25.2986,152.8535,Shelly Bay Resort
44,Ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
46,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Kiama,AU,81.0,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
55,Mecca,SA,83.12,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
57,Coahuayana,MX,78.31,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
61,Atuona,PF,78.08,overcast clouds,-9.8,-139.0333,Villa Enata
63,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
74,Bengkulu,ID,75.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
81,Hilo,US,78.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
84,Matara,LK,78.33,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
90,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
91,Sinnamary,GF,79.11,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
102,Moroni,KM,75.31,clear sky,-11.7022,43.2551,Hotel les Arcades
106,Axim,GH,77.59,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
109,Airai,TL,79.79,scattered clouds,-8.9266,125.4092,Juvinal Martin
110,Fare,PF,80.35,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
115,Cartagena,CO,83.82,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
117,Vanimo,PG,88.74,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
119,Providencia,MX,78.85,overcast clouds,28.7167,-111.5833,
124,Kailua,US,82.38,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
126,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
129,Abu Dhabi,AE,78.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
130,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
137,Lufilufi,WS,81.86,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
143,Poum,NC,76.42,light rain,-20.2333,164.0167,Gîte kajeon
149,Morant Bay,JM,83.82,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
150,Atambua,ID,87.91,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
151,Mazagao,BR,84.25,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
155,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
162,Dingle,PH,86.13,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
164,Waingapu,ID,87.8,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
165,Samarai,PG,84.43,overcast clouds,-10.6167,150.6667,Nuli Sapi
173,Ixtapa,MX,76.55,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
176,Kavieng,PG,85.91,broken clouds,-2.5744,150.7967,Nusa Island Retreat
180,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
181,Victoria,HK,77.25,broken clouds,22.2855,114.1577,Mini Hotel Central
184,Bilma,NE,80.64,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
185,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
187,Sola,VU,88.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
191,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
196,Basco,PH,80.53,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
197,Koutiala,ML,79.21,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
202,Diffa,NE,83.03,scattered clouds,13.3154,12.6113,ProDAF/Diffa
204,La Primavera,CO,76.91,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
205,Georgetown,MY,86.9,overcast clouds,5.4112,100.3354,Cititel Penang
207,Daru,PG,86.94,scattered clouds,-9.0763,143.2092,Daru Lodge
