City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,CV,14.8961,-24.4956,78.53,75,0,9.28,clear sky
1,Nanortalik,GL,60.1432,-45.2371,33.37,96,100,2.26,snow
2,Souillac,MU,-20.5167,57.5167,75.36,73,40,14.97,scattered clouds
3,Hasaki,JP,35.7333,140.8333,64.29,55,98,16.4,overcast clouds
4,Bluff,NZ,-46.6,168.3333,53.13,65,6,16.31,clear sky
5,Mosetse,BW,-20.75,26.65,65.1,79,31,19.3,scattered clouds
6,Pevek,RU,69.7008,170.3133,7.05,97,99,4.18,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,75.36,77,7,15.19,light rain
8,Ostrovnoy,RU,68.0531,39.5131,37.89,83,100,5.21,overcast clouds
9,Kloulklubed,PW,7.0419,134.2556,88.3,73,34,11.39,scattered clouds
10,Reconquista,AR,-29.15,-59.65,57.58,65,0,6.82,clear sky
11,Palauig,PH,15.435,119.9045,86.38,64,44,4.21,scattered clouds
12,Dubbo,AU,-32.25,148.6167,75.33,25,0,6.91,clear sky
13,Khatanga,RU,71.9667,102.5,32.83,99,100,11.23,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,52.27,71,0,3.0,clear sky
15,Carutapera,BR,-1.195,-46.02,77.74,85,60,5.01,broken clouds
16,Torbay,CA,47.6666,-52.7314,43.39,97,90,3.44,mist
17,Benton,US,36.3334,-94.3335,56.89,75,1,4.61,clear sky
18,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,100,10.0,overcast clouds
19,Vaini,TO,-21.2,-175.2,80.76,83,40,11.5,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,59.02,51,47,7.56,scattered clouds
21,Magan,ES,39.9683,-3.931,65.28,93,99,3.47,overcast clouds
22,Albany,US,42.6001,-73.9662,49.95,79,63,8.93,broken clouds
23,Arroyo,ES,41.6096,-4.7969,61.2,85,90,5.75,fog
24,Cidreira,BR,-30.1811,-50.2056,60.89,83,79,12.66,broken clouds
25,Dikson,RU,73.5069,80.5464,30.96,99,100,6.44,light snow
26,Cabo San Lucas,MX,22.8909,-109.9124,81.7,80,5,11.77,clear sky
27,Dauriya,RU,49.9333,116.8667,33.96,46,4,8.81,clear sky
28,Ketchikan,US,55.3422,-131.6461,40.39,81,20,2.57,few clouds
29,Cayenne,GF,4.9333,-52.3333,82.09,85,33,0.0,scattered clouds
30,Sungaipenuh,ID,-2.0833,101.3833,71.17,86,100,1.19,overcast clouds
31,San Ignacio,BZ,17.1561,-89.0714,77.14,88,75,0.0,broken clouds
32,Harlingen,US,26.1906,-97.6961,73.89,90,1,6.91,clear sky
33,Saint Andrews,US,34.0454,-81.1293,53.29,77,1,1.99,clear sky
34,East London,ZA,-33.0153,27.9116,54.43,66,40,10.31,light rain
35,Bambous Virieux,MU,-20.3428,57.7575,75.22,73,40,14.97,scattered clouds
36,Nemuro,JP,43.3236,145.575,50.43,51,1,7.67,clear sky
37,Fortuna,US,40.5982,-124.1573,50.41,75,90,0.0,moderate rain
38,Arraial Do Cabo,BR,-22.9661,-42.0278,69.73,86,100,3.65,overcast clouds
39,Narsaq,GL,60.9167,-46.05,32.22,48,64,8.5,broken clouds
40,Saint Simons,US,31.1352,-81.3901,62.64,76,1,0.0,clear sky
41,Hervey Bay,AU,-25.2986,152.8535,75.04,67,79,4.32,light rain
42,Punta Arenas,CL,-53.15,-70.9167,48.31,76,0,28.77,clear sky
43,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,75,5.75,broken clouds
44,Ahuimanu,US,21.4447,-157.8378,82.11,67,20,12.66,light rain
45,Barrow,US,71.2906,-156.7887,21.22,68,90,0.0,light snow
46,Kapaa,US,22.0752,-159.319,80.58,81,75,1.99,light rain
47,Husavik,IS,66.0449,-17.3389,33.71,94,100,30.06,snow
48,Hermanus,ZA,-34.4187,19.2345,51.91,70,2,6.35,clear sky
49,Kiama,AU,-34.6833,150.8667,81.0,49,0,11.99,clear sky
50,Stolin,BY,51.8912,26.846,41.34,76,100,7.38,overcast clouds
51,Haysville,US,37.5645,-97.3523,62.29,54,1,10.36,clear sky
